"locationID","ancientcity","ancientregion","country","lat","longi"
"VXOS95FL8X","Dorostolum/Silistra","Bulgaria","Bulgaria",44.11666667,27.26666667
"J14AGFMWPH","Gallipoli","Italy","Italy",40.05484764,17.9761875
"W7PVA7CCU9","Isernia and Venafro","Campobasso","Italy",41.6,14.23333333
"NTBP9F600G","Tharros","Italy","Italy",39.88252656,8.438594687
"M19DWJBD3K","Sarsina","Umbria","Italy",43.9194,12.142155
"Z9DIP3I4VX","Argentorate/Stratoburgo","(blank)","France",48.582416,7.747407
"LWWDGQA376","Osimo","Italy","Italy",43.48651489,13.48082859
"ZP8JVQ1IOM","Altino","Italy","Italy",42.10423033,14.32869027
"R8PNY177GG","Basilinopolis","Bithynia","Turkey",40.607148,29.558621
"0EZN17XFB8","Lisbon","Portugal","Portugal",38.72527778,-9.15027778
"STYISIZGD4","Rinokoloura/Rinokoroura/Rinokouroura/Rhinocolura","Augustamnica Prima","Egypt",31.111755,33.796926
"ZM1XBE7A4I","Fausania","Italy","Italy",40.92561179,9.496791042
"QF3XMHDMIV","Peroz-Shapur","Persia","Iraq",37.10935,42.390333
"SRBAJMX8PF","The Thebaid","Egypt","Egypt",25.664781,32.631884
"1XLUP83HB7","Augustodurum - Bayeux - Civitas Baiocassium","Lugdunensis","France",49.275312,-0.7052
"JZOJ38F4P1","Squillace","Calabria","Italy",38.78333333,16.51666667
"Q8657WUIUQ","Vicohabentia - Voghenza","Aemilia","Italy",44.7672276,11.7505007
"4FFCNIMMGI","Pitinum","Italy","Italy",42.87326592,12.81813703
"QO1A1PWJSR","Aquaviva","Italy","Italy",41.59203717,12.82875886
"94BGFMCRWG","Jubail","(blank)","Saudi Arabia",26.93744,49.65647
"L9ZP752QB1","Seville","Spain","Spain",37.39,-5.99
"BLGC4APA79","Pergamos","Cyprus","Cyprus",35.046085,33.704175
"JPE2G0PRSN","Calama","Numidia","Algeria",36.4643305,7.427677
"CG53OGJOSE","Autricum/Carnotum/Chartres","(blank)","France",48.445658,1.4856175
"W9RY4FYHMJ","","Palestina - Palestine - Syria Palaistine","Israel",31.25,34.75
"RJ25SR57BW","Aguntum","Austria","Austria",46.82840017,12.76409808
"1GL3UN326X","Hirena","Tunis","Tunisia",36.8500325,10.318
"IRD2CXWUM1","Calahorra and La Calzada","Logroño","Spain",42.29888889,-1.9575
"AKB0L03AJC","Akhmim","Egypt","Egypt",26.56666667,31.75
"G7R0Q30RMS","Soissons","Gaul","France",49.38166667,3.32361111
"M2XAX5SLWZ","Tricca","Greece","Greece",39.558752,21.762589
"HNCDAV1GDB","Chiusi - Camars - Clusium","Etruria","Italy",43.016367,11.9487025
"GGXAI9HVJY","","Mesopotamia","Turkey",37.6989364006,40.6516947125
"T2B0TUWDTO","Cornwall","Britain","United Kingdom",50.4,-4.9
"8E9BHKQJ5R","Saighir","Ireland","Ireland",53.0731,-7.7956
"5GD2UKP7K0","Clermont","Gaul","France",45.33333333,3
"OMTUHG1GF4","Manglisi","(blank)","Georgia",41.696438,44.370753
"MOI0296508","Sinope","Anatolia","Turkey",42.025776,35.143037
"DDL7MWPJEE","Ratiaria","(blank)","Bulgaria",43.813575,22.9122725
"ZMQWWBLXC9","","Cappadocia","Turkey",37.5,37.5
"2WHJYHRCOS","","Thrace - Thracia","Serbia",42.5,22.5
"TYTR7J28YU","Tyre - Tyros - Tyrios - Colonia Septimia Severa","Phoenice Parhalus","Lebanon",33.2698475,35.2038435
"3GIEMG4PHU","Terenouthis","(blank)","Egypt",30.432395,30.815779
"Q4X0597PLF","Sicca Veneria","Carthage","Tunisia",36.18057,8.712204
"P5FHN1U2K6","Vagharshabad","Armenia","Armenia",40.166992,44.309673
"PVQHJ71O9L","Kolossai - Honaz - Chonai - Khonos","Phrygia","Turkey",37.79309567,29.25807167
"RUJV4H69VE","Hierapolis","(blank)","Israel",31.78333333,35.21666667
"8MGEVU1U35","Basra - Ardašir","Mesopotamia","Iraq",30.503217,47.820635
"W2RN124KJS","Chalcedon","Bithynia","Turkey",40.983393,29.025789
"C4XW4BIWXY","Saena","Italy","Italy",43.318695,11.330502
"50EYY7I6SF","Gezireh (Chaldean)","Syria","Syria",36.5,40.9
"BNH7GZZ69Y","Majorca and Iviza","Spain","Spain",39.61666667,2.98333333
"OK256O9X2E","Reggio nellEmilia - Regium Lepidi","Aemilia","Italy",44.698137,10.630721
"KYFDNBCALS","Salamis","Cyprus","Northern Cyprus",35.1799505,33.9030525
"IMUFAYJJDW","","Macedonia","Serbia",42.5,22.5
"KI6BQE8G5O","Constantina","Osrhoene","Turkey",37.22888889,39.75583333
"3KRSZ88K8O","Philippi","(blank)","Greece",41.013056,24.286389
"ZGT43C35JI","Interamnia Praetuttiorum - Teramo","Picenum","Italy",42.661254,13.698507
"PQJMSD0V9X","Saint-Pol-de-Léon","(blank)","France",48.68495,-3.98617
"ZAQ9W4DJR9","Dolus","(blank)","France",48.5509,-1.75558
"4UWOF5XFY9","Zarai","Numidia","Algeria",35.802187,5.677421
"BVEDVKMDRD","Eca - Aecae - Troia","Apulia et Calabria","Spain",41.361189,0.308894
"VY3BK634G7","Thibaris","Byzacena","Tunisia",36.47555556,9.08166667
"Y07ZZWEU0Z","Blera","Etruria","Italy",42.272684,12.027539
"HWBHWFQG69","Thacia Montana","Africa Proconsularis","Tunisia",36.30267,9.050218
"EY3BAOE94R","Melita","(blank)","France",45.2554153,2.430129
